year,mean_anomaly_c,mean_z
1880,-0.747522,-1.527475
1881,-0.792356,-1.613730
1882,-0.757875,-1.547393
1883,-0.820500,-1.667876
1884,-0.917582,-1.854650
1885,-0.708577,-1.452549
1886,-0.708083,-1.451600
1887,-0.695495,-1.427381
1888,-0.694276,-1.425036
1889,-0.657667,-1.354604
1890,-0.668458,-1.375366
1891,-0.656818,-1.352971
1892,-0.643303,-1.326971
1893,-0.591454,-1.227218
1894,-0.581582,-1.208227
1895,-0.617173,-1.276700
1896,-0.593523,-1.231200
1897,-0.551193,-1.149761
1898,-0.586610,-1.217900
1899,-0.560167,-1.167026
1900,-0.558492,-1.163804
1901,-0.579833,-1.204862
1902,-0.537583,-1.123579
1903,-0.493585,-1.038930
1904,-0.500333,-1.051914
1905,-0.472356,-0.998089
1906,-0.456227,-0.967058
1907,-0.487105,-1.026463
1908,-0.499570,-1.050445
1909,-0.473755,-1.000780
1910,-0.421402,-0.900059
1911,-0.422583,-0.902332
1912,-0.407917,-0.874116
1913,-0.442439,-0.940531
1914,-0.384622,-0.829299
1915,-0.378917,-0.818323
1916,-0.395265,-0.849775
1917,-0.405952,-0.870336
1918,-0.367833,-0.797000
1919,-0.329428,-0.723112
1920,-0.369021,-0.799285
1921,-0.341597,-0.746525
1922,-0.348833,-0.760446
1923,-0.339579,-0.742643
1924,-0.320688,-0.706297
1925,-0.288629,-0.644620
1926,-0.244146,-0.559041
1927,-0.271257,-0.611199
1928,-0.252941,-0.575962
1929,-0.253333,-0.576716
1930,-0.245365,-0.561385
1931,-0.177419,-0.430667
1932,-0.232083,-0.535834
1933,-0.241667,-0.554271
1934,-0.163989,-0.404828
1935,-0.208083,-0.489660
1936,-0.178325,-0.432409
1937,-0.166929,-0.410484
1938,-0.167364,-0.411322
1939,-0.139667,-0.358035
1940,-0.157417,-0.392184
1941,-0.118708,-0.317712
1942,-0.133583,-0.346331
1943,-0.096189,-0.274388
1944,-0.071169,-0.226253
1945,-0.058246,-0.201391
1946,-0.076625,-0.236751
1947,-0.075089,-0.233796
1948,-0.000250,-0.089814
1949,-0.059083,-0.203002
1950,-0.020270,-0.128331
1951,-0.003676,-0.096406
1952,0.020388,-0.050109
1953,0.044917,-0.002919
1954,0.065167,0.036039
1955,0.049000,0.004937
1956,0.056603,0.019564
1957,0.036500,-0.019112
1958,0.057351,0.021003
1959,0.088917,0.081732
1960,0.084917,0.074036
1961,0.055193,0.016851
1962,0.095223,0.093865
1963,0.154250,0.207425
1964,0.148333,0.196042
1965,0.144083,0.187866
1966,0.171333,0.240291
1967,0.167583,0.233077
1968,0.119097,0.139795
1969,0.171750,0.241093
1970,0.201083,0.297527
1971,0.214083,0.322537
1972,0.232250,0.357488
1973,0.248667,0.389071
1974,0.263046,0.416735
1975,0.240958,0.374240
1976,0.269083,0.428350
1977,0.332000,0.549394
1978,0.287580,0.463936
1979,0.314917,0.516528
1980,0.291948,0.472339
1981,0.358500,0.600377
1982,0.357137,0.597754
1983,0.364961,0.612808
1984,0.384000,0.649436
1985,0.399083,0.678455
1986,0.443000,0.762945
1987,0.414342,0.707810
1988,0.447167,0.770961
1989,0.470826,0.816478
1990,0.458514,0.792791
1991,0.417923,0.714701
1992,0.268669,0.427554
1993,0.506303,0.884733
1994,0.522287,0.915483
1995,0.583169,1.032614
1996,0.583098,1.032478
1997,0.608770,1.081866
1998,0.796625,1.443277
1999,0.639682,1.141337
2000,0.643583,1.148843
2001,0.672677,1.204816
2002,0.651308,1.163704
2003,0.654000,1.168883
2004,0.721157,1.298086
2005,0.704347,1.265745
2006,0.718750,1.293455
2007,0.716807,1.289716
2008,0.722167,1.300028
2009,0.756926,1.366901
2010,0.727049,1.309421
2011,0.764000,1.380510
2012,0.744619,1.343224
2013,0.821417,1.490973
2014,0.849941,1.545851
2015,0.859000,1.563279
2016,0.981765,1.799464
2017,0.880814,1.605247
2018,0.867315,1.579276
2019,0.919287,1.679263
2020,0.904376,1.650576
2021,0.940027,1.719165
2022,0.960496,1.758544
2023,1.153376,2.129622
2024,1.167872,2.157510
2025,1.012637,1.858857
