date,anomaly_c,z
1880-01,-0.730000,-1.493765
1880-02,-0.752000,-1.536090
1880-03,-0.670000,-1.378332
1880-04,-0.593000,-1.230193
1880-05,-0.739000,-1.511080
1880-06,-0.756000,-1.543786
1880-07,-0.740262,-1.513508
1880-08,-0.724000,-1.482222
1880-09,-0.841000,-1.707315
1880-10,-0.766000,-1.563025
1880-11,-0.839000,-1.703468
1880-12,-0.820000,-1.666914
1881-01,-0.740000,-1.513004
1881-02,-0.797271,-1.623187
1881-03,-0.849000,-1.722706
1881-04,-0.749000,-1.530319
1881-05,-0.791000,-1.611122
1881-06,-0.702000,-1.439896
1881-07,-0.824000,-1.674610
1881-08,-0.888000,-1.797738
1881-09,-0.676000,-1.389875
1881-10,-0.820000,-1.666914
1881-11,-0.786000,-1.601502
1881-12,-0.886000,-1.793890
1882-01,-0.798500,-1.625551
1882-02,-0.711000,-1.457211
1882-03,-0.793000,-1.614969
1882-04,-0.663000,-1.364865
1882-05,-0.750000,-1.532242
1882-06,-0.740000,-1.513004
1882-07,-0.789000,-1.607274
1882-08,-0.620000,-1.282138
1882-09,-0.783000,-1.595730
1882-10,-0.873000,-1.768880
1882-11,-0.715000,-1.464907
1882-12,-0.859000,-1.741945
1883-01,-0.719000,-1.472602
1883-02,-0.866000,-1.755412
1883-03,-0.800000,-1.628436
1883-04,-0.670000,-1.378332
1883-05,-0.630000,-1.301377
1883-06,-0.692000,-1.420658
1883-07,-0.740000,-1.513004
1883-08,-0.928000,-1.874693
1883-09,-1.040000,-2.090167
1883-10,-0.985000,-1.984354
1883-11,-0.960000,-1.936257
1883-12,-0.816000,-1.659218
1884-01,-0.898000,-1.816977
1884-02,-1.040000,-2.090167
1884-03,-0.854000,-1.732326
1884-04,-0.893639,-1.808587
1884-05,-0.932000,-1.882388
1884-06,-0.850000,-1.724630
1884-07,-0.859344,-1.742608
1884-08,-0.869000,-1.761184
1884-09,-1.028000,-2.067081
1884-10,-0.992000,-1.997821
1884-11,-0.933000,-1.884312
1884-12,-0.862000,-1.747717
1885-01,-0.753000,-1.538014
1885-02,-0.755627,-1.543068
1885-03,-0.758000,-1.547634
1885-04,-0.758000,-1.547634
1885-05,-0.603000,-1.249432
1885-06,-0.659918,-1.358936
1885-07,-0.715000,-1.464907
1885-08,-0.653000,-1.345626
1885-09,-0.722000,-1.478374
1885-10,-0.808000,-1.643827
1885-11,-0.707377,-1.450241
1885-12,-0.610000,-1.262899
1886-01,-0.710000,-1.455287
1886-02,-0.553000,-1.153238
1886-03,-0.869000,-1.761184
1886-04,-0.586000,-1.216726
1886-05,-0.650000,-1.339855
1886-06,-0.699000,-1.434125
1886-07,-0.691000,-1.418734
1886-08,-0.882000,-1.786194
1886-09,-0.758000,-1.547634
1886-10,-0.718000,-1.470678
1886-11,-0.620000,-1.282138
1886-12,-0.761000,-1.553405
1887-01,-0.758000,-1.547634
1887-02,-0.708000,-1.451440
1887-03,-0.575000,-1.195564
1887-04,-0.615000,-1.272519
1887-05,-0.618934,-1.280088
1887-06,-0.623000,-1.287910
1887-07,-0.680000,-1.397571
1887-08,-0.635000,-1.310996
1887-09,-0.786000,-1.601502
1887-10,-0.762000,-1.555329
1887-11,-0.759000,-1.549557
1887-12,-0.826000,-1.678457
1888-01,-0.659000,-1.357169
1888-02,-0.636000,-1.312920
1888-03,-0.638000,-1.316768
1888-04,-0.694410,-1.425294
1888-05,-0.749000,-1.530319
1888-06,-0.690000,-1.416810
1888-07,-0.705000,-1.445668
1888-08,-0.766000,-1.563025
1888-09,-0.728902,-1.491652
1888-10,-0.693000,-1.422581
1888-11,-0.688000,-1.412962
1888-12,-0.684000,-1.405266
1889-01,-0.652000,-1.343702
1889-02,-0.653000,-1.345626
1889-03,-0.781000,-1.591883
1889-04,-0.622000,-1.285986
1889-05,-0.621000,-1.284062
1889-06,-0.446000,-0.947383
1889-07,-0.683000,-1.403343
1889-08,-0.670000,-1.378332
1889-09,-0.712000,-1.459135
1889-10,-0.808000,-1.643827
1889-11,-0.616000,-1.274443
1889-12,-0.628000,-1.297529
1890-01,-0.668500,-1.375446
1890-02,-0.709000,-1.453363
1890-03,-0.505000,-1.060892
1890-04,-0.722000,-1.478374
1890-05,-0.568000,-1.182097
1890-06,-0.460000,-0.974318
1890-07,-0.736000,-1.505308
1890-08,-0.726000,-1.486069
1890-09,-0.690000,-1.416810
1890-10,-0.744000,-1.520699
1890-11,-0.821000,-1.668838
1890-12,-0.672000,-1.382180
1891-01,-0.736000,-1.505308
1891-02,-0.588000,-1.220574
1891-03,-0.680000,-1.397571
1891-04,-0.475000,-1.003176
1891-05,-0.670000,-1.378332
1891-06,-0.648000,-1.336007
1891-07,-0.581000,-1.207107
1891-08,-0.625500,-1.292720
1891-09,-0.670000,-1.378332
1891-10,-0.741311,-1.515527
1891-11,-0.815000,-1.657295
1891-12,-0.652000,-1.343702
1892-01,-0.620000,-1.282138
1892-02,-0.553000,-1.153238
1892-03,-0.695000,-1.426429
1892-04,-0.694000,-1.424505
1892-05,-0.641869,-1.324211
1892-06,-0.588000,-1.220574
1892-07,-0.616000,-1.274443
1892-08,-0.632000,-1.305225
1892-09,-0.648770,-1.337489
1892-10,-0.665000,-1.368713
1892-11,-0.652000,-1.343702
1892-12,-0.714000,-1.462983
1893-01,-0.481000,-1.014719
1893-02,-0.581000,-1.207107
1893-03,-0.681000,-1.399495
1893-04,-0.525000,-1.099370
1893-05,-0.662000,-1.362941
1893-06,-0.596443,-1.236817
1893-07,-0.533000,-1.114761
1893-08,-0.715000,-1.464907
1893-09,-0.590000,-1.224422
1893-10,-0.640000,-1.320616
1893-11,-0.599000,-1.241737
1893-12,-0.494000,-1.039729
1894-01,-0.640000,-1.320616
1894-02,-0.654000,-1.347550
1894-03,-0.644034,-1.328377
1894-04,-0.633000,-1.307149
1894-05,-0.579000,-1.203259
1894-06,-0.563000,-1.172477
1894-07,-0.593000,-1.230193
1894-08,-0.573000,-1.191716
1894-09,-0.655000,-1.349474
1894-10,-0.546000,-1.139771
1894-11,-0.480951,-1.014624
1894-12,-0.418000,-0.893515
1895-01,-0.559000,-1.164782
1895-02,-0.652000,-1.343702
1895-03,-0.650000,-1.339855
1895-04,-0.518000,-1.085903
1895-05,-0.581000,-1.207107
1895-06,-0.523000,-1.095522
1895-07,-0.566000,-1.178249
1895-08,-0.634000,-1.309073
1895-09,-0.714000,-1.462983
1895-10,-0.697279,-1.430813
1895-11,-0.680000,-1.397571
1895-12,-0.631803,-1.304846
1896-01,-0.582000,-1.209031
1896-02,-0.673000,-1.384104
