source_line,date,anomaly_c,repaired_swap
2,1880-01-01,-0.73,False
3,1880-02-01,-0.752,False
4,1880-02-01,-0.752,False
5,1880-03-01,-0.67,False
6,1880-04-01,-0.593,False
7,1880-05-01,-0.739,False
8,1880-06-01,-0.756,False
9,1880-07-01,-500.0,False
10,1880-08-01,-0.724,False
11,1880-09-01,-0.841,False
12,1880-10-01,-0.766,False
13,1880-11-01,-0.839,False
14,1880-12-01,-0.82,False
15,1881-01-01,-0.74,False
16,1881-03-01,-0.849,False
17,1881-04-01,-0.749,False
18,1881-05-01,-0.791,False
19,1881-06-01,-0.702,False
20,1881-07-01,-0.824,False
21,1881-08-01,-0.888,False
22,1881-09-01,-0.676,False
23,1881-10-01,-0.82,False
24,1881-11-01,-0.786,False
25,1881-12-01,-0.886,False
26,1882-01-01,500.0,False
27,1882-02-01,-0.711,False
28,1882-03-01,-0.793,False
29,1882-04-01,-0.663,False
30,1882-05-01,-0.75,False
31,1882-06-01,-0.74,False
32,1882-07-01,-0.789,False
33,1882-08-01,-0.62,False
34,1882-09-01,-0.783,False
35,1882-10-01,-0.873,False
36,1882-11-01,-0.715,False
37,1882-12-01,-0.859,False
38,1883-01-01,-0.719,False
39,1883-02-01,-0.866,False
40,1883-03-01,-0.8,False
41,1883-04-01,-0.67,False
42,1883-05-01,-0.63,False
43,1883-05-01,-0.63,False
44,1883-06-01,-0.692,False
45,1883-07-01,-0.74,False
46,1883-08-01,-0.928,False
47,1883-09-01,-1.04,False
48,1883-10-01,-0.985,False
49,1883-11-01,-0.96,False
50,1883-12-01,-0.816,False
51,1884-01-01,-0.898,False
52,1884-02-01,-1.04,False
53,1884-03-01,-0.854,False
54,1884-05-01,-0.932,False
55,1884-06-01,-0.85,False
56,1884-08-01,-0.869,False
57,1884-09-01,-1.028,False
58,1884-10-01,-0.992,False
59,1884-11-01,-0.933,False
60,1884-12-01,-0.862,False
61,1885-01-01,-0.753,False
62,1885-03-01,-0.758,False
63,1885-04-01,-0.758,False
64,1885-05-01,-0.603,False
65,1885-07-01,-0.715,False
66,1885-08-01,-0.653,False
67,1885-09-01,-0.722,False
68,1885-10-01,-0.808,False
69,1885-11-01,,False
70,1885-12-01,-0.61,False
71,1886-01-01,-0.71,False
72,1886-02-01,-0.553,False
73,1886-03-01,-0.869,False
74,1886-04-01,-0.586,False
75,1886-05-01,-0.65,False
76,1886-06-01,-0.699,False
77,1886-07-01,-0.691,False
78,1886-08-01,-0.882,False
79,1886-09-01,-0.758,False
80,1886-10-01,-0.718,False
81,1886-11-01,-0.62,False
82,1886-12-01,-0.761,False
83,1887-01-01,-0.758,False
84,1887-02-01,-0.708,False
85,1887-03-01,-0.575,False
86,1887-04-01,-0.615,False
87,1887-06-01,-0.623,False
