source_line,date,anomaly_c,repaired_swap,was_outlier
2,1880-01-01,-0.73,False,False
3,1880-02-01,-0.752,False,False
5,1880-03-01,-0.67,False,False
6,1880-04-01,-0.593,False,False
7,1880-05-01,-0.739,False,False
8,1880-06-01,-0.756,False,False
9,1880-07-01,,False,True
10,1880-08-01,-0.724,False,False
11,1880-09-01,-0.841,False,False
12,1880-10-01,-0.766,False,False
13,1880-11-01,-0.839,False,False
14,1880-12-01,-0.82,False,False
15,1881-01-01,-0.74,False,False
16,1881-03-01,-0.849,False,False
17,1881-04-01,-0.749,False,False
18,1881-05-01,-0.791,False,False
19,1881-06-01,-0.702,False,False
20,1881-07-01,-0.824,False,False
21,1881-08-01,-0.888,False,False
22,1881-09-01,-0.676,False,False
23,1881-10-01,-0.82,False,False
24,1881-11-01,-0.786,False,False
25,1881-12-01,-0.886,False,False
26,1882-01-01,,False,True
27,1882-02-01,-0.711,False,False
28,1882-03-01,-0.793,False,False
29,1882-04-01,-0.663,False,False
30,1882-05-01,-0.75,False,False
31,1882-06-01,-0.74,False,False
32,1882-07-01,-0.789,False,False
33,1882-08-01,-0.62,False,False
34,1882-09-01,-0.783,False,False
35,1882-10-01,-0.873,False,False
36,1882-11-01,-0.715,False,False
37,1882-12-01,-0.859,False,False
38,1883-01-01,-0.719,False,False
39,1883-02-01,-0.866,False,False
40,1883-03-01,-0.8,False,False
41,1883-04-01,-0.67,False,False
42,1883-05-01,-0.63,False,False
44,1883-06-01,-0.692,False,False
45,1883-07-01,-0.74,False,False
46,1883-08-01,-0.928,False,False
47,1883-09-01,-1.04,False,False
48,1883-10-01,-0.985,False,False
49,1883-11-01,-0.96,False,False
50,1883-12-01,-0.816,False,False
51,1884-01-01,-0.898,False,False
52,1884-02-01,-1.04,False,False
53,1884-03-01,-0.854,False,False
54,1884-05-01,-0.932,False,False
55,1884-06-01,-0.85,False,False
56,1884-08-01,-0.869,False,False
57,1884-09-01,-1.028,False,False
58,1884-10-01,-0.992,False,False
59,1884-11-01,-0.933,False,False
60,1884-12-01,-0.862,False,False
61,1885-01-01,-0.753,False,False
62,1885-03-01,-0.758,False,False
63,1885-04-01,-0.758,False,False
64,1885-05-01,-0.603,False,False
65,1885-07-01,-0.715,False,False
66,1885-08-01,-0.653,False,False
67,1885-09-01,-0.722,False,False
68,1885-10-01,-0.808,False,False
69,1885-11-01,,False,False
70,1885-12-01,-0.61,False,False
71,1886-01-01,-0.71,False,False
72,1886-02-01,-0.553,False,False
73,1886-03-01,-0.869,False,False
74,1886-04-01,-0.586,False,False
75,1886-05-01,-0.65,False,False
76,1886-06-01,-0.699,False,False
77,1886-07-01,-0.691,False,False
78,1886-08-01,-0.882,False,False
79,1886-09-01,-0.758,False,False
80,1886-10-01,-0.718,False,False
81,1886-11-01,-0.62,False,False
82,1886-12-01,-0.761,False,False
83,1887-01-01,-0.758,False,False
84,1887-02-01,-0.708,False,False
85,1887-03-01,-0.575,False,False
86,1887-04-01,-0.615,False,False
87,1887-06-01,-0.623,False,False
88,1887-07-01,-0.68,False,False
89,1887-08-01,-0.635,False,False
90,1887-09-01,-0.786,False,False
91,1887-10-01,-0.762,False,False
92,1887-11-01,-0.759,False,False
93,1887-12-01,-0.826,False,False
94,1888-01-01,-0.659,False,False
95,1888-02-01,-0.636,False,False
96,1888-03-01,-0.638,False,False
97,1888-04-01,,False,False
98,1888-05-01,-0.749,False,False
99,1888-06-01,-0.69,False,False
100,1888-07-01,-0.705,False,False
101,1888-08-01,-0.766,False,False
102,1888-09-01,,False,True
103,1888-10-01,-0.693,False,False
104,1888-11-01,-0.688,False,False
105,1888-12-01,-0.684,False,False
106,1889-01-01,-0.652,False,False
107,1889-02-01,-0.653,False,False
108,1889-03-01,-0.781,False,False
109,1889-04-01,-0.622,False,False
110,1889-05-01,-0.621,False,False
111,1889-06-01,-0.446,False,False
112,1889-07-01,-0.683,False,False
113,1889-08-01,-0.67,False,False
114,1889-09-01,-0.712,False,False
115,1889-10-01,-0.808,False,False
116,1889-11-01,-0.616,False,False
117,1889-12-01,-0.628,False,False
118,1890-01-01,,False,False
119,1890-02-01,-0.709,False,False
120,1890-03-01,-0.505,False,False
121,1890-04-01,-0.722,False,False
122,1890-05-01,-0.568,False,False
123,1890-06-01,-0.46,False,False
124,1890-07-01,-0.736,False,False
125,1890-08-01,-0.726,False,False
126,1890-09-01,-0.69,False,False
127,1890-10-01,-0.744,False,False
128,1890-11-01,-0.821,False,False
129,1890-12-01,-0.672,False,False
130,1891-01-01,-0.736,False,False
131,1891-02-01,-0.588,False,False
132,1891-03-01,-0.68,False,False
133,1891-04-01,-0.475,False,False
134,1891-05-01,-0.67,False,False
135,1891-06-01,-0.648,False,False
136,1891-07-01,-0.581,False,False
137,1891-08-01,,False,True
138,1891-09-01,-0.67,False,False
139,1891-10-01,,False,False
140,1891-11-01,-0.815,False,False
141,1891-12-01,-0.652,False,False
142,1892-01-01,-0.62,False,False
143,1892-02-01,-0.553,False,False
144,1892-03-01,-0.695,False,False
145,1892-04-01,-0.694,False,False
146,1892-05-01,,False,False
147,1892-06-01,-0.588,False,False
148,1892-07-01,-0.616,False,False
149,1892-08-01,-0.632,False,False
150,1892-09-01,,False,False
151,1892-10-01,-0.665,False,False
152,1892-11-01,-0.652,False,False
153,1892-12-01,-0.714,False,False
154,1893-01-01,-0.481,False,False
155,1893-02-01,-0.581,False,False
